f(n) = 0g(n) = 42,h(n) = 4, state = 1 3 9 4 5 6 7 6 5 0
f(n) = 0g(n) = 42,h(n) = 4, state = 1 3 9 4 5 6 7 0 6 5
f(n) = 0g(n) = 42,h(n) = 4, state = 1 3 4 6 5 6 7 0 9 5
f(n) = 0g(n) = 42,h(n) = 4, state = 1 3 4 5 5 6 7 6 9 0
f(n) = 0g(n) = 44,h(n) = 4, state = 5 1 3 4 5 0 7 6 9 6
f(n) = 0g(n) = 45,h(n) = 4, state = 5 1 3 0 5 6 7 6 9 4
f(n) = 0g(n) = 43,h(n) = 4, state = 5 1 3 4 5 6 7 6 0 9
f(n) = 0g(n) = 42,h(n) = 4, state = 7 1 3 4 5 6 6 0 9 5
f(n) = 0g(n) = 42,h(n) = 4, state = 7 0 3 4 5 6 1 6 9 5
f(n) = 0g(n) = 42,h(n) = 4, state = 1 7 6 4 5 6 3 0 9 5
f(n) = 0g(n) = 45,h(n) = 4, state = 1 0 6 3 5 6 7 4 9 5
f(n) = 0g(n) = 45,h(n) = 4, state = 1 6 4 3 5 6 7 0 9 5
f(n) = 0g(n) = 45,h(n) = 4, state = 1 6 3 9 5 6 7 4 5 0
f(n) = 0g(n) = 45,h(n) = 4, state = 1 6 3 9 5 6 7 0 4 5
f(n) = 0g(n) = 45,h(n) = 4, state = 1 0 6 4 5 6 7 9 3 5
f(n) = 0g(n) = 45,h(n) = 4, state = 1 6 9 4 5 6 7 0 3 5
f(n) = 0g(n) = 45,h(n) = 4, state = 1 6 3 5 5 6 7 9 4 0
f(n) = 0g(n) = 46,h(n) = 4, state = 6 0 3 4 5 6 1 7 9 5
f(n) = 0g(n) = 45,h(n) = 4, state = 1 0 6 4 5 6 3 7 9 5
f(n) = 0g(n) = 45,h(n) = 4, state = 1 6 7 4 5 6 3 0 9 5
f(n) = 0g(n) = 45,h(n) = 4, state = 1 0 7 4 5 6 6 3 9 5
f(n) = 0g(n) = 45,h(n) = 4, state = 1 6 9 4 5 6 7 3 5 0
f(n) = 0g(n) = 45,h(n) = 4, state = 1 6 4 5 5 6 7 3 9 0
f(n) = 0g(n) = 45,h(n) = 4, state = 1 3 6 5 5 6 7 4 9 0
f(n) = 0g(n) = 43,h(n) = 4, state = 1 3 0 6 5 6 7 4 9 5
f(n) = 0g(n) = 44,h(n) = 3, state = 1 0 3 6 5 6 7 4 9 5
f(n) = 0g(n) = 47,h(n) = 3, state = 1 4 3 6 5 6 7 0 9 5
f(n) = 0g(n) = 50,h(n) = 3, state = 1 4 3 0 5 6 7 6 9 5
f(n) = 0g(n) = 53,h(n) = 3, state = 1 4 3 5 5 6 7 6 9 0
f(n) = 0g(n) = 43,h(n) = 4, state = 1 3 0 4 5 6 7 9 6 5
f(n) = 0g(n) = 44,h(n) = 3, state = 1 0 3 4 5 6 7 9 6 5
f(n) = 0g(n) = 47,h(n) = 3, state = 1 9 3 4 5 6 7 0 6 5
f(n) = 0g(n) = 48,h(n) = 3, state = 1 9 3 4 5 6 7 6 0 5
f(n) = 0g(n) = 49,h(n) = 3, state = 1 9 3 4 5 6 7 6 5 0
f(n) = 0g(n) = 41,h(n) = 4, state = 1 3 6 4 5 6 7 9 5 0
f(n) = 0g(n) = 45,h(n) = 4, state = 1 7 3 5 5 6 6 4 9 0
f(n) = 0g(n) = 41,h(n) = 4, state = 1 7 3 4 5 6 6 9 5 0
f(n) = 0g(n) = 51,h(n) = 4, state = 1 6 3 5 5 5 7 4 9 0
f(n) = 0g(n) = 52,h(n) = 4, state = 1 3 0 5 5 6 7 4 9 6
f(n) = 0g(n) = 52,h(n) = 4, state = 0 1 3 5 5 6 7 4 9 6
f(n) = 0g(n) = 52,h(n) = 4, state = 1 7 3 5 5 6 0 4 9 6
f(n) = 0g(n) = 55,h(n) = 4, state = 1 4 3 5 5 6 7 9 0 6
f(n) = 0g(n) = 55,h(n) = 4, state = 1 4 3 5 5 6 0 7 9 6
f(n) = 0g(n) = 55,h(n) = 4, state = 1 4 0 5 5 6 7 3 9 6
f(n) = 0g(n) = 58,h(n) = 4, state = 1 4 3 5 0 6 7 5 9 6
f(n) = 0g(n) = 58,h(n) = 4, state = 1 4 0 3 5 6 7 5 9 6
f(n) = 0g(n) = 58,h(n) = 4, state = 1 4 3 9 5 6 7 5 0 6
f(n) = 0g(n) = 62,h(n) = 4, state = 1 4 3 6 5 0 7 5 9 6
f(n) = 0g(n) = 63,h(n) = 4, state = 0 4 3 6 5 6 7 5 9 1
f(n) = 0g(n) = 61,h(n) = 4, state = 1 4 3 6 5 6 7 5 0 9
f(n) = 0g(n) = 61,h(n) = 4, state = 1 4 3 6 0 6 7 5 9 5
f(n) = 0g(n) = 51,h(n) = 4, state = 6 0 3 5 5 6 7 4 9 1
f(n) = 0g(n) = 52,h(n) = 4, state = 1 6 3 5 0 6 7 4 9 1
f(n) = 0g(n) = 53,h(n) = 3, state = 1 6 3 0 5 6 7 4 9 1
f(n) = 0g(n) = 56,h(n) = 2, state = 1 6 3 4 5 6 7 0 9 1
f(n) = 0g(n) = 59,h(n) = 2, state = 1 0 3 4 5 6 7 6 9 1
f(n) = 0g(n) = 56,h(n) = 3, state = 1 6 3 1 5 6 7 4 9 0
f(n) = 0g(n) = 57,h(n) = 3, state = 1 6 3 4 5 6 7 9 0 1
f(n) = 0g(n) = 57,h(n) = 3, state = 1 6 3 4 5 6 0 7 9 1
f(n) = 0g(n) = 57,h(n) = 3, state = 1 6 0 4 5 6 7 3 9 1
f(n) = 0g(n) = 62,h(n) = 3, state = 1 6 3 4 5 0 7 6 9 1
f(n) = 0g(n) = 60,h(n) = 3, state = 1 3 0 4 5 6 7 6 9 1
f(n) = 0g(n) = 60,h(n) = 3, state = 0 1 3 4 5 6 7 6 9 1
f(n) = 0g(n) = 60,h(n) = 3, state = 1 7 3 4 5 6 0 6 9 1
f(n) = 0g(n) = 58,h(n) = 3, state = 1 6 3 4 5 6 7 9 1 0
f(n) = 0g(n) = 58,h(n) = 3, state = 1 0 3 4 5 6 6 7 9 1
f(n) = 0g(n) = 58,h(n) = 3, state = 1 0 6 4 5 6 7 3 9 1
f(n) = 0g(n) = 61,h(n) = 3, state = 1 3 6 4 5 6 7 0 9 1
f(n) = 0g(n) = 63,h(n) = 3, state = 1 1 3 4 0 6 7 6 9 1
f(n) = 0g(n) = 61,h(n) = 3, state = 1 7 3 4 5 6 6 0 9 1
f(n) = 0g(n) = 64,h(n) = 3, state = 1 1 3 4 1 6 7 6 9 0
f(n) = 0g(n) = 48,h(n) = 4, state = 1 6 3 5 5 6 7 0 4 9
f(n) = 0g(n) = 48,h(n) = 4, state = 1 6 3 0 5 6 7 4 5 9
f(n) = 0g(n) = 51,h(n) = 3, state = 1 6 3 4 5 6 7 0 5 9
f(n) = 0g(n) = 54,h(n) = 3, state = 1 0 3 4 5 6 7 6 5 9
f(n) = 0g(n) = 52,h(n) = 3, state = 1 6 3 4 5 6 7 5 0 9
f(n) = 0g(n) = 53,h(n) = 2, state = 1 6 3 4 5 6 7 5 9 0
f(n) = 0g(n) = 55,h(n) = 3, state = 1 6 3 4 5 0 7 5 9 6
f(n) = 0g(n) = 58,h(n) = 2, state = 1 0 3 4 5 6 7 5 9 6
f(n) = 0g(n) = 61,h(n) = 2, state = 1 5 3 4 5 6 7 0 9 6
f(n) = 0g(n) = 56,h(n) = 3, state = 1 6 3 0 5 6 7 5 9 4
f(n) = 0g(n) = 56,h(n) = 3, state = 0 6 3 4 5 6 7 5 9 1
f(n) = 0g(n) = 54,h(n) = 3, state = 1 6 3 4 0 6 7 5 9 5
f(n) = 0g(n) = 58,h(n) = 3, state = 1 6 3 4 5 5 7 5 9 0
f(n) = 0g(n) = 59,h(n) = 3, state = 1 3 0 4 5 6 7 5 9 6
f(n) = 0g(n) = 59,h(n) = 3, state = 0 1 3 4 5 6 7 5 9 6
f(n) = 0g(n) = 59,h(n) = 3, state = 1 7 3 4 5 6 0 5 9 6
f(n) = 0g(n) = 64,h(n) = 3, state = 1 5 3 0 5 6 7 4 9 6
f(n) = 0g(n) = 62,h(n) = 3, state = 1 5 3 4 5 6 7 9 0 6
f(n) = 0g(n) = 62,h(n) = 3, state = 1 5 3 4 5 6 0 7 9 6
f(n) = 0g(n) = 62,h(n) = 3, state = 1 5 0 4 5 6 7 3 9 6
f(n) = 0g(n) = 59,h(n) = 3, state = 1 6 3 5 5 6 7 0 9 4
f(n) = 0g(n) = 58,h(n) = 3, state = 6 0 3 4 5 6 7 5 9 1
f(n) = 0g(n) = 59,h(n) = 3, state = 1 6 3 4 0 6 7 5 9 1
f(n) = 0g(n) = 60,h(n) = 3, state = 1 6 3 4 5 0 7 5 9 5
f(n) = 0g(n) = 63,h(n) = 2, state = 1 0 3 4 5 6 7 5 9 5
f(n) = 0g(n) = 66,h(n) = 2, state = 1 5 3 4 5 6 7 0 9 5
f(n) = 0g(n) = 60,h(n) = 3, state = 1 3 5 4 5 6 7 0 9 6
f(n) = 0g(n) = 60,h(n) = 3, state = 1 7 3 4 5 6 5 0 9 6
f(n) = 0g(n) = 67,h(n) = 3, state = 1 5 3 6 5 6 7 4 9 0
f(n) = 0g(n) = 63,h(n) = 3, state = 1 5 3 4 5 6 7 9 6 0
f(n) = 0g(n) = 63,h(n) = 3, state = 1 0 3 4 5 6 5 7 9 6
f(n) = 0g(n) = 63,h(n) = 3, state = 1 0 5 4 5 6 7 3 9 6
f(n) = 0g(n) = 62,h(n) = 3, state = 1 0 3 5 5 6 7 6 9 4
f(n) = 0g(n) = 61,h(n) = 3, state = 6 5 3 4 5 6 7 0 9 1
f(n) = 0g(n) = 60,h(n) = 3, state = 1 6 3 4 1 6 7 5 9 0
f(n) = 0g(n) = 64,h(n) = 3, state = 1 3 0 4 5 6 7 5 9 5
f(n) = 0g(n) = 64,h(n) = 3, state = 0 1 3 4 5 6 7 5 9 5
f(n) = 0g(n) = 64,h(n) = 3, state = 1 7 3 4 5 6 0 5 9 5
f(n) = 0g(n) = 69,h(n) = 3, state = 1 5 3 0 5 6 7 4 9 5
f(n) = 0g(n) = 67,h(n) = 3, state = 1 5 3 4 5 6 7 9 0 5
f(n) = 0g(n) = 67,h(n) = 3, state = 1 5 3 4 5 6 0 7 9 5
f(n) = 0g(n) = 67,h(n) = 3, state = 1 5 0 4 5 6 7 3 9 5
f(n) = 0g(n) = 65,h(n) = 3, state = 1 3 5 4 5 6 7 0 9 5
f(n) = 0g(n) = 65,h(n) = 3, state = 1 7 3 4 5 6 5 0 9 5
f(n) = 0g(n) = 72,h(n) = 3, state = 1 5 3 5 5 6 7 4 9 0
f(n) = 0g(n) = 68,h(n) = 3, state = 1 5 3 4 5 6 7 9 5 0
f(n) = 0g(n) = 68,h(n) = 3, state = 1 0 3 4 5 6 5 7 9 5
f(n) = 0g(n) = 68,h(n) = 3, state = 1 0 5 4 5 6 7 3 9 5
f(n) = 0g(n) = 47,h(n) = 4, state = 1 6 3 4 5 5 7 9 5 0
f(n) = 0g(n) = 48,h(n) = 4, state = 1 3 0 4 5 6 7 9 5 6
f(n) = 0g(n) = 48,h(n) = 4, state = 0 1 3 4 5 6 7 9 5 6
f(n) = 0g(n) = 48,h(n) = 4, state = 1 7 3 4 5 6 0 9 5 6
f(n) = 0g(n) = 53,h(n) = 4, state = 1 9 3 0 5 6 7 4 5 6
f(n) = 0g(n) = 51,h(n) = 4, state = 1 9 3 4 5 6 0 7 5 6
f(n) = 0g(n) = 51,h(n) = 4, state = 1 9 0 4 5 6 7 3 5 6
f(n) = 0g(n) = 54,h(n) = 4, state = 1 9 0 4 5 6 7 5 3 6
f(n) = 0g(n) = 54,h(n) = 4, state = 1 9 3 4 0 6 7 5 5 6
f(n) = 0g(n) = 52,h(n) = 4, state = 1 9 3 0 5 6 7 5 4 6
f(n) = 0g(n) = 54,h(n) = 4, state = 1 9 3 4 5 0 7 5 6 6
f(n) = 0g(n) = 55,h(n) = 4, state = 1 9 3 0 5 6 7 5 6 4
f(n) = 0g(n) = 55,h(n) = 4, state = 0 9 3 4 5 6 7 5 6 1
f(n) = 0g(n) = 53,h(n) = 4, state = 1 9 3 4 0 6 7 5 6 5
f(n) = 0g(n) = 48,h(n) = 4, state = 1 6 3 9 5 6 7 0 5 4
f(n) = 0g(n) = 46,h(n) = 4, state = 1 6 3 5 5 6 7 9 0 4
f(n) = 0g(n) = 47,h(n) = 4, state = 6 0 3 4 5 6 7 9 5 1
f(n) = 0g(n) = 48,h(n) = 4, state = 1 6 3 4 0 6 7 9 5 1
f(n) = 0g(n) = 46,h(n) = 4, state = 6 1 3 4 5 6 0 7 9 5
f(n) = 0g(n) = 47,h(n) = 3, state = 6 1 3 4 5 6 7 0 9 5
f(n) = 0g(n) = 50,h(n) = 3, state = 6 0 3 4 5 6 7 1 9 5
f(n) = 0g(n) = 51,h(n) = 3, state = 0 6 3 4 5 6 7 1 9 5
f(n) = 0g(n) = 39,h(n) = 4, state = 1 3 0 4 6 6 7 6 9 6
f(n) = 0g(n) = 39,h(n) = 4, state = 1 7 3 4 6 6 0 6 9 6
f(n) = 0g(n) = 44,h(n) = 4, state = 1 6 3 0 6 6 7 4 9 6
f(n) = 0g(n) = 42,h(n) = 4, state = 1 6 3 4 6 6 7 9 0 6
f(n) = 0g(n) = 42,h(n) = 4, state = 1 6 3 4 6 6 0 7 9 6
f(n) = 0g(n) = 42,h(n) = 4, state = 1 6 0 4 6 6 7 3 9 6
f(n) = 0g(n) = 39,h(n) = 4, state = 1 6 3 6 6 6 7 0 9 4
f(n) = 0g(n) = 37,h(n) = 4, state = 1 6 3 6 0 6 7 6 9 4
f(n) = 0g(n) = 38,h(n) = 4, state = 6 0 3 4 6 6 7 6 9 1
f(n) = 0g(n) = 41,h(n) = 4, state = 0 6 3 4 1 6 7 6 9 1
f(n) = 0g(n) = 40,h(n) = 4, state = 1 6 3 0 4 6 7 6 9 1
f(n) = 0g(n) = 42,h(n) = 4, state = 1 6 3 4 1 0 7 6 9 6
f(n) = 0g(n) = 45,h(n) = 3, state = 1 0 3 4 1 6 7 6 9 6
f(n) = 0g(n) = 48,h(n) = 3, state = 1 6 3 4 1 6 7 0 9 6
f(n) = 0g(n) = 43,h(n) = 4, state = 1 6 3 0 1 6 7 6 9 4
f(n) = 0g(n) = 41,h(n) = 4, state = 1 6 3 4 1 6 7 6 0 9
f(n) = 0g(n) = 37,h(n) = 4, state = 1 6 3 4 0 6 7 6 6 9
f(n) = 0g(n) = 35,h(n) = 4, state = 1 6 3 4 6 6 7 0 6 9
f(n) = 0g(n) = 38,h(n) = 4, state = 6 0 3 4 1 6 7 6 9 6
f(n) = 0g(n) = 39,h(n) = 4, state = 6 6 3 4 0 6 7 6 9 6
f(n) = 0g(n) = 38,h(n) = 4, state = 1 6 3 6 4 6 7 0 9 6
f(n) = 0g(n) = 38,h(n) = 4, state = 1 6 3 6 4 6 7 6 9 0
f(n) = 0g(n) = 25,h(n) = 4, state = 1 4 6 3 5 6 7 0 9 6
f(n) = 0g(n) = 25,h(n) = 4, state = 1 0 4 3 5 6 7 6 9 6
f(n) = 0g(n) = 25,h(n) = 4, state = 1 0 3 9 5 6 7 6 4 6
f(n) = 0g(n) = 30,h(n) = 4, state = 1 6 3 6 5 0 7 4 9 5
f(n) = 0g(n) = 31,h(n) = 4, state = 1 6 3 0 5 5 7 4 9 6
f(n) = 0g(n) = 34,h(n) = 3, state = 1 6 3 4 5 5 7 0 9 6
f(n) = 0g(n) = 37,h(n) = 3, state = 1 0 3 4 5 5 7 6 9 6
f(n) = 0g(n) = 40,h(n) = 3, state = 1 5 3 4 5 0 7 6 9 6
f(n) = 0g(n) = 43,h(n) = 3, state = 1 5 3 4 5 5 7 6 9 0
f(n) = 0g(n) = 45,h(n) = 3, state = 1 5 3 4 5 0 7 6 9 5
f(n) = 0g(n) = 48,h(n) = 3, state = 1 0 3 4 5 5 7 6 9 5
f(n) = 0g(n) = 51,h(n) = 3, state = 1 6 3 4 5 5 7 0 9 5
f(n) = 0g(n) = 30,h(n) = 4, state = 1 7 3 6 5 6 4 0 9 6
f(n) = 0g(n) = 33,h(n) = 4, state = 1 4 3 6 5 6 7 9 6 0
f(n) = 0g(n) = 33,h(n) = 4, state = 1 4 3 0 5 6 7 9 6 6
f(n) = 0g(n) = 33,h(n) = 4, state = 1 0 3 6 5 6 4 7 9 6
f(n) = 0g(n) = 33,h(n) = 4, state = 1 4 6 0 5 6 7 3 9 6
f(n) = 0g(n) = 33,h(n) = 4, state = 1 0 4 6 5 6 7 3 9 6
f(n) = 0g(n) = 36,h(n) = 4, state = 1 4 3 5 6 6 7 6 9 0
f(n) = 0g(n) = 36,h(n) = 4, state = 1 4 3 9 5 6 7 6 6 0
f(n) = 0g(n) = 36,h(n) = 4, state = 1 4 3 9 5 6 7 0 6 6
f(n) = 0g(n) = 42,h(n) = 4, state = 1 4 3 6 5 5 7 6 9 0
f(n) = 0g(n) = 42,h(n) = 4, state = 1 0 3 6 5 4 7 6 9 6
f(n) = 0g(n) = 42,h(n) = 4, state = 4 0 3 6 5 6 7 6 9 1
f(n) = 0g(n) = 43,h(n) = 4, state = 1 4 3 6 0 6 7 6 9 1
f(n) = 0g(n) = 39,h(n) = 4, state = 1 4 3 6 5 6 7 0 6 9
f(n) = 0g(n) = 39,h(n) = 4, state = 1 4 3 0 5 6 7 6 6 9
f(n) = 0g(n) = 39,h(n) = 4, state = 1 4 3 0 6 6 7 6 9 5
f(n) = 0g(n) = 31,h(n) = 4, state = 6 4 3 6 5 6 7 0 9 1
f(n) = 0g(n) = 30,h(n) = 4, state = 1 6 3 0 6 6 7 4 9 1
f(n) = 0g(n) = 33,h(n) = 3, state = 1 6 3 4 6 6 7 0 9 1
f(n) = 0g(n) = 36,h(n) = 3, state = 1 0 3 4 6 6 7 6 9 1
f(n) = 0g(n) = 30,h(n) = 4, state = 1 6 3 6 1 6 7 4 9 0
f(n) = 0g(n) = 28,h(n) = 4, state = 1 0 3 6 5 6 7 6 4 9
f(n) = 0g(n) = 28,h(n) = 4, state = 1 6 3 0 5 6 7 6 4 9
f(n) = 0g(n) = 29,h(n) = 4, state = 1 6 3 4 5 6 0 7 6 9
f(n) = 0g(n) = 29,h(n) = 4, state = 1 6 0 4 5 6 7 3 6 9
f(n) = 0g(n) = 34,h(n) = 4, state = 1 6 3 4 5 0 7 6 6 9
f(n) = 0g(n) = 32,h(n) = 4, state = 1 3 0 4 5 6 7 6 6 9
f(n) = 0g(n) = 32,h(n) = 4, state = 0 1 3 4 5 6 7 6 6 9
f(n) = 0g(n) = 32,h(n) = 4, state = 1 7 3 4 5 6 0 6 6 9
f(n) = 0g(n) = 32,h(n) = 4, state = 1 6 0 4 5 6 7 6 3 9
f(n) = 0g(n) = 32,h(n) = 4, state = 1 6 3 4 0 6 7 6 5 9
f(n) = 0g(n) = 34,h(n) = 4, state = 1 6 3 5 0 6 7 6 9 4
f(n) = 0g(n) = 34,h(n) = 4, state = 1 6 0 3 5 6 7 6 9 4
f(n) = 0g(n) = 34,h(n) = 4, state = 1 6 3 9 5 6 7 6 0 4
f(n) = 0g(n) = 36,h(n) = 4, state = 7 6 3 4 5 6 0 6 9 1
f(n) = 0g(n) = 34,h(n) = 4, state = 6 6 3 4 5 0 7 6 9 1
f(n) = 0g(n) = 33,h(n) = 4, state = 0 6 3 4 1 6 7 6 9 5
f(n) = 0g(n) = 32,h(n) = 4, state = 1 6 3 0 4 6 7 6 9 5
f(n) = 0g(n) = 37,h(n) = 4, state = 1 6 3 6 5 6 0 7 9 4
f(n) = 0g(n) = 37,h(n) = 4, state = 1 6 0 6 5 6 7 3 9 4
f(n) = 0g(n) = 36,h(n) = 4, state = 6 3 0 4 5 6 7 6 9 1
f(n) = 0g(n) = 36,h(n) = 4, state = 6 7 3 4 5 6 0 6 9 1
f(n) = 0g(n) = 42,h(n) = 4, state = 1 6 3 6 5 0 7 6 9 4
f(n) = 0g(n) = 40,h(n) = 4, state = 1 3 0 6 5 6 7 6 9 4
f(n) = 0g(n) = 40,h(n) = 4, state = 0 1 3 6 5 6 7 6 9 4
f(n) = 0g(n) = 40,h(n) = 4, state = 1 7 3 6 5 6 0 6 9 4
f(n) = 0g(n) = 41,h(n) = 4, state = 6 6 3 0 5 6 7 4 9 1
f(n) = 0g(n) = 39,h(n) = 4, state = 6 6 3 4 5 6 7 9 0 1
f(n) = 0g(n) = 39,h(n) = 4, state = 6 6 3 4 5 6 0 7 9 1
f(n) = 0g(n) = 39,h(n) = 4, state = 6 6 0 4 5 6 7 3 9 1
f(n) = 0g(n) = 31,h(n) = 4, state = 1 9 6 4 5 6 7 0 3 6
f(n) = 0g(n) = 31,h(n) = 4, state = 1 0 9 4 5 6 7 6 3 6
f(n) = 0g(n) = 32,h(n) = 4, state = 6 7 3 4 5 6 1 0 9 6
f(n) = 0g(n) = 35,h(n) = 4, state = 6 6 3 4 5 1 7 0 9 6
f(n) = 0g(n) = 34,h(n) = 4, state = 1 0 9 4 5 6 7 3 6 6
f(n) = 0g(n) = 34,h(n) = 4, state = 7 0 3 4 5 6 6 1 9 6
f(n) = 0g(n) = 34,h(n) = 4, state = 7 6 3 4 5 6 1 0 9 6
f(n) = 0g(n) = 34,h(n) = 4, state = 0 1 3 4 5 5 7 6 9 6
f(n) = 0g(n) = 32,h(n) = 4, state = 1 6 3 4 5 0 7 9 6 5
f(n) = 0g(n) = 31,h(n) = 4, state = 1 6 3 4 5 5 7 9 0 6
f(n) = 0g(n) = 32,h(n) = 4, state = 1 7 3 4 5 6 9 0 6 6
f(n) = 0g(n) = 39,h(n) = 4, state = 1 9 3 6 5 6 7 4 6 0
f(n) = 0g(n) = 37,h(n) = 4, state = 1 9 3 6 5 6 7 4 0 6
f(n) = 0g(n) = 35,h(n) = 4, state = 1 0 3 4 5 6 9 7 6 6
f(n) = 0g(n) = 37,h(n) = 4, state = 1 9 6 4 5 6 7 3 0 6
f(n) = 0g(n) = 38,h(n) = 4, state = 1 9 3 4 6 6 7 6 5 0
f(n) = 0g(n) = 38,h(n) = 4, state = 1 9 3 6 5 6 7 0 4 6
f(n) = 0g(n) = 38,h(n) = 4, state = 1 9 3 6 5 6 7 6 4 0
f(n) = 0g(n) = 40,h(n) = 4, state = 1 9 3 4 5 5 7 6 6 0
f(n) = 0g(n) = 40,h(n) = 4, state = 1 0 3 4 5 9 7 6 6 6
f(n) = 0g(n) = 41,h(n) = 4, state = 1 9 3 6 5 6 7 0 6 4
f(n) = 0g(n) = 39,h(n) = 4, state = 1 9 3 6 5 6 7 6 0 4
f(n) = 0g(n) = 40,h(n) = 4, state = 9 0 3 4 5 6 7 6 6 1
f(n) = 0g(n) = 41,h(n) = 4, state = 1 9 3 4 0 6 7 6 6 1
f(n) = 0g(n) = 34,h(n) = 4, state = 1 0 3 9 5 6 7 6 6 4
f(n) = 0g(n) = 33,h(n) = 4, state = 6 9 3 4 5 6 7 0 6 1
f(n) = 0g(n) = 32,h(n) = 4, state = 1 6 3 4 1 6 7 9 6 0
f(n) = 0g(n) = 33,h(n) = 4, state = 6 1 3 0 5 6 7 4 9 6
f(n) = 0g(n) = 31,h(n) = 4, state = 6 1 3 4 5 6 7 9 0 6
f(n) = 0g(n) = 31,h(n) = 4, state = 6 1 0 4 5 6 7 3 9 6
f(n) = 0g(n) = 36,h(n) = 4, state = 6 6 3 4 5 0 7 1 9 6
f(n) = 0g(n) = 34,h(n) = 4, state = 6 3 0 4 5 6 7 1 9 6
f(n) = 0g(n) = 34,h(n) = 4, state = 6 7 3 4 5 6 0 1 9 6
f(n) = 0g(n) = 37,h(n) = 4, state = 6 6 3 4 0 6 7 1 9 6
f(n) = 0g(n) = 37,h(n) = 4, state = 7 6 3 4 5 6 0 1 9 6
f(n) = 0g(n) = 41,h(n) = 4, state = 1 0 3 6 5 5 7 6 9 4
f(n) = 0g(n) = 40,h(n) = 4, state = 6 5 3 4 5 0 7 6 9 1
f(n) = 0g(n) = 40,h(n) = 4, state = 6 6 3 4 5 5 7 0 9 1
f(n) = 0g(n) = 39,h(n) = 4, state = 1 6 3 4 1 5 7 6 9 0
f(n) = 0g(n) = 39,h(n) = 4, state = 5 6 3 4 5 5 7 6 9 0
f(n) = 0g(n) = 40,h(n) = 4, state = 5 3 0 4 5 6 7 6 9 1
f(n) = 0g(n) = 40,h(n) = 4, state = 5 7 3 4 5 6 0 6 9 1
f(n) = 0g(n) = 45,h(n) = 4, state = 5 6 3 0 5 6 7 4 9 1
f(n) = 0g(n) = 43,h(n) = 4, state = 5 6 3 4 5 6 7 9 0 1
f(n) = 0g(n) = 43,h(n) = 4, state = 5 6 3 4 5 6 0 7 9 1
f(n) = 0g(n) = 43,h(n) = 4, state = 5 6 0 4 5 6 7 3 9 1
f(n) = 0g(n) = 43,h(n) = 4, state = 7 5 3 4 5 6 0 6 9 1
f(n) = 0g(n) = 45,h(n) = 4, state = 0 5 3 4 1 6 7 6 9 1
f(n) = 0g(n) = 44,h(n) = 4, state = 1 5 3 0 4 6 7 6 9 1
f(n) = 0g(n) = 46,h(n) = 4, state = 1 5 3 4 1 0 7 6 9 6
f(n) = 0g(n) = 47,h(n) = 4, state = 1 5 3 0 1 6 7 6 9 4
f(n) = 0g(n) = 45,h(n) = 4, state = 1 5 3 4 1 6 7 6 0 9
f(n) = 0g(n) = 37,h(n) = 4, state = 1 0 3 4 5 5 7 6 6 9
f(n) = 0g(n) = 40,h(n) = 4, state = 6 6 3 4 5 1 7 0 9 5
f(n) = 0g(n) = 45,h(n) = 4, state = 1 0 9 4 5 6 7 3 6 5
f(n) = 0g(n) = 45,h(n) = 4, state = 1 0 4 6 5 6 7 3 9 5
f(n) = 0g(n) = 47,h(n) = 4, state = 5 1 3 4 5 5 7 6 9 0
f(n) = 0g(n) = 47,h(n) = 4, state = 5 0 3 4 5 1 7 6 9 6
f(n) = 0g(n) = 48,h(n) = 4, state = 5 1 3 6 5 6 7 0 9 4
f(n) = 0g(n) = 44,h(n) = 4, state = 5 1 3 4 5 6 7 0 6 9
f(n) = 0g(n) = 45,h(n) = 4, state = 7 0 3 4 5 6 6 1 9 5
f(n) = 0g(n) = 45,h(n) = 4, state = 7 6 3 4 5 6 1 0 9 5
f(n) = 0g(n) = 48,h(n) = 4, state = 1 4 6 3 5 6 7 0 9 5
f(n) = 0g(n) = 48,h(n) = 4, state = 1 0 4 3 5 6 7 6 9 5
f(n) = 0g(n) = 48,h(n) = 4, state = 1 0 3 9 5 6 7 6 4 5
f(n) = 0g(n) = 48,h(n) = 4, state = 1 9 6 4 5 6 7 0 3 5
f(n) = 0g(n) = 48,h(n) = 4, state = 1 0 9 4 5 6 7 6 3 5
f(n) = 0g(n) = 49,h(n) = 4, state = 6 7 3 4 5 6 1 0 9 5
f(n) = 0g(n) = 45,h(n) = 4, state = 0 1 3 6 5 6 7 4 9 5
f(n) = 0g(n) = 45,h(n) = 4, state = 1 7 3 6 5 6 0 4 9 5
f(n) = 0g(n) = 48,h(n) = 4, state = 1 4 3 6 5 6 7 9 0 5
f(n) = 0g(n) = 48,h(n) = 4, state = 1 4 3 6 5 6 0 7 9 5
f(n) = 0g(n) = 48,h(n) = 4, state = 1 4 0 6 5 6 7 3 9 5
f(n) = 0g(n) = 51,h(n) = 4, state = 1 4 3 5 0 6 7 6 9 5
f(n) = 0g(n) = 51,h(n) = 4, state = 1 4 0 3 5 6 7 6 9 5
f(n) = 0g(n) = 51,h(n) = 4, state = 1 4 3 9 5 6 7 6 0 5
f(n) = 0g(n) = 55,h(n) = 4, state = 1 4 3 5 5 0 7 6 9 6
f(n) = 0g(n) = 56,h(n) = 4, state = 0 4 3 5 5 6 7 6 9 1
f(n) = 0g(n) = 54,h(n) = 4, state = 1 4 3 5 5 6 7 6 0 9
